file_name,cases.0.samples.0.submitter_id,cases.0.case_id,id
7411d69d-b4ea-4099-9709-451756f03af1.htseq.counts.gz,TCGA-BH-A0DK-01A,f2bbfa9d-9a9d-4f46-9fde-378e4c44e2ad,4dbe4de1-d9a7-4743-967a-435692161d54
3a7a0c28-6d64-4f3e-bfa8-750d464b0b4a.htseq.counts.gz,TCGA-A8-A0A4-01A,2cb8c866-9296-4c70-a3ea-f9a9b707895c,312b2b31-a9b4-422c-b586-4b3ee6057cce
04268bf5-f4de-4c02-bd76-a64ac21b6136.htseq.counts.gz,TCGA-BH-A0BW-01A,5d1d00c6-fcae-479e-ae1e-de76efd41d98,ad1fa0a8-27c5-4e37-9620-786b01edc93d
d6bbcaba-61a7-4360-bc15-1426f8eafa82.htseq.counts.gz,TCGA-E9-A1NH-01A,b2aac45b-2073-4c7a-adb9-769a4fdcc111,7a48f7a1-b4e1-439e-ad5b-03e407863ad3
318901b4-4f1c-4017-8113-5115747c6a67.htseq.counts.gz,TCGA-A8-A06X-01A,70931617-b3df-4a12-8e3f-2b2307602f48,4ccec632-4f16-4f35-99d8-c601907c1fd6
15f8a6a7-ab64-4106-b52f-601e3c5d92c5.htseq.counts.gz,TCGA-EW-A1OW-01A,f55dd73d-8c36-440b-84e5-9aae53107775,8f27dfe1-1188-4dca-8aaa-36cf48cd3f81
3960a39a-badb-45c1-b68e-5280677881f6.htseq.counts.gz,TCGA-B6-A0RO-01A,0b172e29-6166-4863-803d-a0a010887c11,9cc018bc-3b77-4d5f-adc3-48fd4d70281d
e70fb08e-1239-4035-874e-64dbb3ac0e3d.htseq.counts.gz,TCGA-BH-A0DL-01A,ba39bfbc-5cac-4f6c-b55c-4eee3466ee93,7160578c-4b69-43a4-8729-e2bfbd591a78
e6bec4f4-0b51-43ba-b62b-5af777712488.htseq.counts.gz,TCGA-E9-A1N3-01A,03c143e0-d8a1-4d60-a4a3-df0501fc6b6e,b82f9b29-f1e9-44a0-a0d4-6814624bb2bf
2807d45f-9e15-4e06-8336-de7295fc7509.htseq.counts.gz,TCGA-A8-A07U-01A,59bf0ce4-715a-4017-bccb-c59916e78324,00156c51-2686-4736-88c1-c30c81ec0a12
be0d2e41-7373-4fa9-9c05-877e9ddcb88c.htseq.counts.gz,TCGA-A1-A0SI-01A,16368c32-2118-4fcf-8693-6c89995e49d8,8ff31ceb-6799-44ec-8482-2fcaee6420df
79eee19f-5a9c-4e79-83ef-d6871ef4cb6f.htseq.counts.gz,TCGA-D8-A1JJ-01A,f7ab565c-83b5-4988-b9be-8a46f65dca8c,23c298d2-2a74-4827-8922-c21ae9fa9ca2
eb5bc3d0-9f66-413f-b6bb-72a5a6b7fde9.htseq.counts.gz,TCGA-AR-A255-01A,e8f3cc64-5e15-4f4d-b73e-5c9b250a664c,56dcde50-ceae-4867-8095-7f09ab3bd5bf
12b1e149-ee9a-4cff-9706-d1da57e659c7.htseq.counts.gz,TCGA-B6-A0IH-01A,2476dda9-da2a-4242-9642-b92b8b9b1c79,4fb3dd46-fb24-4701-9095-2b995ff05ea0
793d9283-e8c4-4548-8f2f-b57f94308b5c.htseq.counts.gz,TCGA-A2-A1G1-01A,75b5529b-565a-4eba-918a-910b2f441d32,a850150c-8cf8-4a56-b8ef-f3598527923e
f5703c0c-00cc-481d-9296-416238a6f42b.htseq.counts.gz,TCGA-AN-A0XW-01A,39de7761-e762-4811-b95c-8216b79ae06b,c85a6f34-7b6b-4677-beac-44f06bcc5c32
23721967-f211-4775-b90c-282126ef6286.htseq.counts.gz,TCGA-A2-A04X-01A,733a2a0f-b37a-4b81-b49e-3c0f30d1eb37,41131a6e-7e2d-4f57-8da7-434763f18543
92891ee4-51a0-4e4d-b6db-70fbb2a756bc.htseq.counts.gz,TCGA-D8-A27M-01A,ae65baeb-6b78-492a-8c63-bb7e93e83dc2,c54676b5-d200-4c18-846d-ca510b0d4865
780280f7-2ea5-47b9-abbd-c2fc95e63c66.htseq.counts.gz,TCGA-BH-A0GY-01A,7d9d3522-ec3b-4efe-8c8e-c0e675276ef5,18286fa6-c92c-4927-9870-11b412725679
fe07bbb2-6d46-44b4-8363-1e1b8d648660.htseq.counts.gz,TCGA-B6-A0X7-01A,5b9a5cd2-5ec8-48a0-b9f2-da9bede0b089,e3d48cab-5094-4f8f-94ed-37eacc6eb55d
e740e34f-31fe-4fe4-8965-4e9ec5ec50fd.htseq.counts.gz,TCGA-A2-A04R-01A,f3a058b9-fb7f-4098-8f0e-83c2acfa1ed5,73099153-1c5a-49d3-bfd7-cbeb9cbed478
54401c2a-7124-42b7-90d8-6267575bce51.htseq.counts.gz,TCGA-C8-A12V-01A,7e1673f8-5758-4963-8804-d5e39f06205b,c446307f-0887-4275-ba3b-44a6071bf9c6
7d9d7119-4a9e-46f6-b758-153bfcc869a5.htseq.counts.gz,TCGA-D8-A1JL-01A,aa4244a8-0454-4247-a1c3-357fd51746fa,26b38d50-bdb5-4066-bce2-cd774977968b
7483525d-d141-4e9d-aced-92be415ec529.htseq.counts.gz,TCGA-D8-A27E-01A,680f23a9-fcce-493e-b908-27c1ad202e4c,5e56eaed-6a78-4f2e-84a7-79d3fdf53b07
8677d42c-aef1-444d-b9a2-0dbcced0e886.htseq.counts.gz,TCGA-A2-A0T6-01A,08306ede-e74b-4be9-b768-7fd98647b6ac,66a55ab7-a18d-4a77-aceb-239578b9d5d1
067b54e1-ade4-4607-9dac-af223e2eaf9d.htseq.counts.gz,TCGA-B6-A0IK-01A,0491063c-14a7-4104-8002-1459126332f3,af067461-d9f5-49d5-8b9e-7620ebea1f9e
c56d7aa2-51fa-485b-94e6-39077c6b72c6.htseq.counts.gz,TCGA-AO-A03T-01A,dd6b64a8-d546-4fd1-bbbd-ac9703791cae,2ba179db-f7ad-43ca-8a15-81c927ed5a81
7d83af5d-9bcf-4c82-a993-fa9053a9b3cb.htseq.counts.gz,TCGA-BH-A0HW-01A,29fdc464-f216-4828-b456-829f71436e27,ad0e58ab-9de2-4b4f-9ac0-385cc04414c8
3ab0577a-0d95-4f3b-9ec8-850820c5ecb3.htseq.counts.gz,TCGA-BH-A18K-01A,50619f8c-10aa-464a-a227-90a7aa6ffd43,85a4374d-150a-4f79-96fa-ffd9c11f6b35
aa42dd76-efb1-4fb7-9922-cf54540844e7.htseq.counts.gz,TCGA-A7-A13E-01A,8c7e74e0-71ef-49b8-9217-94b8ef740ef9,75ee2909-b949-45f8-b3cb-87806d223efa
5018e9b3-06a9-47f9-b6c9-73d6dbaf188c.htseq.counts.gz,TCGA-BH-A0HI-01A,e0375a8b-a135-4103-a59d-39063fcf4a6f,074f7b7c-0c38-41f3-a1bc-5fa4e4610b1e
74baf4dc-d3fc-45f5-a39b-7c88aebe1b89.htseq.counts.gz,TCGA-E2-A14Q-01A,303a1d77-a37a-4966-a4a4-9981d99ba1b4,0ff38d9d-6135-4ecc-aaff-115edd03f7f8
